City_ID,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,rain,snow
0,"{'lon': 79.1667, 'lat': 52.2667}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 33.17, 'feels_like': 31.36, 'temp_min': 33.17, 'temp_max': 33.17, 'pressure': 1002, 'humidity': 23, 'sea_level': 1002, 'grnd_level': 987}",10000.0,"{'speed': 4.28, 'deg': 89, 'gust': 5.06}",{'all': 0},1722582328.0,"{'country': 'RU', 'sunrise': 1722553546, 'sunset': 1722609198}",25200.0,1503153.0,Klyuchi,200.0,,,,,,,,,,,
1,,,,,,,,,,,,,,klyuchi,52.2667,79.1667,33.17,23.0,0.0,4.28,RU,1722582328.0,,
2,"{'lon': 15.6401, 'lat': 78.2186}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 12.91, 'feels_like': 12.24, 'temp_min': 12.91, 'temp_max': 12.91, 'pressure': 1020, 'humidity': 76, 'sea_level': 1020, 'grnd_level': 1015}",10000.0,"{'speed': 2.06, 'deg': 280}",{'all': 0},1722582329.0,"{'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}",7200.0,2729907.0,Longyearbyen,200.0,,,,,,,,,,,
3,,,,,,,,,,,,,,longyearbyen,78.2186,15.6401,12.91,76.0,0.0,2.06,SJ,1722582329.0,,
4,"{'lon': 22.1833, 'lat': 62.4333}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 15.62, 'feels_like': 15.56, 'temp_min': 14.99, 'temp_max': 15.62, 'pressure': 1006, 'humidity': 89, 'sea_level': 1006, 'grnd_level': 990}",10000.0,"{'speed': 1.79, 'deg': 299, 'gust': 4.47}",{'all': 100},1722582330.0,"{'type': 2, 'id': 2080205, 'country': 'FI', 'sunrise': 1722563845, 'sunset': 1722626250}",10800.0,653627.0,Kauhajoki,200.0,,,,,,,,,,,
5,,,,,,,,,,,,,,kauhajoki,62.4333,22.1833,15.62,89.0,100.0,1.79,FI,1722582330.0,,
6,"{'lon': -97.828, 'lat': 28.0945}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 25.87, 'feels_like': 26.94, 'temp_min': 25.2, 'temp_max': 26.85, 'pressure': 1018, 'humidity': 93, 'sea_level': 1018, 'grnd_level': 1013}",10000.0,"{'speed': 2.77, 'deg': 137, 'gust': 6.56}",{'all': 100},1722582331.0,"{'type': 2, 'id': 2010562, 'country': 'US', 'sunrise': 1722599671, 'sunset': 1722648027}",-18000.0,4709615.0,Mathis,200.0,,,,,,,,,,,
7,,,,,,,,,,,,,,mathis,28.0945,-97.828,26.85,93.0,100.0,2.77,US,1722582331.0,,
8,"{'lon': -176.5597, 'lat': -43.9535}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 7.68, 'feels_like': 4.92, 'temp_min': 7.68, 'temp_max': 7.68, 'pressure': 1017, 'humidity': 86, 'sea_level': 1017, 'grnd_level': 1015}",10000.0,"{'speed': 4.47, 'deg': 206, 'gust': 10.28}",{'all': 14},1722582332.0,"{'type': 2, 'id': 2040615, 'country': 'NZ', 'sunrise': 1722625093, 'sunset': 1722660394}",45900.0,4032804.0,Waitangi,200.0,,,,,,,,,,,
9,,,,,,,,,,,,,,waitangi,-43.9535,-176.5597,7.68,86.0,14.0,4.47,NZ,1722582332.0,,
10,"{'lon': 100.3354, 'lat': 5.4112}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 32.83, 'feels_like': 35.95, 'temp_min': 32.72, 'temp_max': 32.97, 'pressure': 1009, 'humidity': 50, 'sea_level': 1009, 'grnd_level': 1006}",6000.0,"{'speed': 4.63, 'deg': 220}",{'all': 20},1722582308.0,"{'type': 2, 'id': 49151, 'country': 'MY', 'sunrise': 1722554065, 'sunset': 1722598518}",28800.0,1735106.0,George Town,200.0,,,,,,,,,,{'1h': 0.56},
11,,,,,,,,,,,,,,georgetown,5.4112,100.3354,32.97,50.0,20.0,4.63,MY,1722582308.0,,
